id,component,resample_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
h2o_20230426_084405,1,1,10,0.7639,0.202,0.5556,0.5556,0.5556
h2o_20230426_084935,1,1,30,0.8194,0.1413,0.4444,0.4444,0.4444
h2o_20230426_085832,1,1,50,0.8056,0.178,0.5556,0.5,0.6
h2o_20230426_091110,1,1,70,0.8056,0.1545,0.5,0.3333,0.25
h2o_20230426_092717,1,1,90,0.7917,0.1654,0.6111,0.6099,0.6125
h2o_20230426_094656,1,1,110,0.8611,0.116,0.5,0.4109,0.5
h2o_20230426_101053,1,1,130,0.8611,0.116,0.5556,0.5,0.6
h2o_20230426_103948,1,1,150,0.8889,0.0977,0.5556,0.5,0.6
h2o_20230426_111240,1,1,170,0.875,0.1083,0.6111,0.5786,0.6607
h2o_20230426_114936,1,1,190,0.8194,0.1267,0.6111,0.5786,0.6607
h2o_20230426_123032,1,1,210,0.8582,0.1074,0.7778,0.775,0.7922
h2o_20230429_010836,1,1,10,0.7639,0.202,0.5556,0.5556,0.5556
h2o_20230429_011333,1,1,30,0.8194,0.1413,0.4444,0.4444,0.4444
h2o_20230429_012113,1,1,50,0.8056,0.178,0.5556,0.5,0.6
h2o_20230429_013135,1,1,70,0.8056,0.1545,0.5,0.3333,0.25
h2o_20230429_014520,1,1,90,0.7917,0.1654,0.6111,0.6099,0.6125
h2o_20230429_020244,1,1,110,0.8611,0.116,0.5,0.4109,0.5
h2o_20230429_022350,1,1,130,0.8611,0.116,0.5556,0.5,0.6
h2o_20230429_024847,1,1,150,0.8889,0.0977,0.5556,0.5,0.6
h2o_20230429_031658,1,1,170,0.875,0.1083,0.6111,0.5786,0.6607
h2o_20230429_034852,1,1,190,0.8194,0.1267,0.6111,0.5786,0.6607
h2o_20230429_042412,1,1,210,0.8582,0.1074,0.7778,0.775,0.792
h2o_20230426_131122,1,3,10,0.8611,0.1318,0.6667,0.6625,0.6753
h2o_20230426_140435,1,3,30,0.9306,0.1102,0.7778,0.775,0.7922
h2o_20230426_150039,1,3,50,0.9306,0.0659,0.7222,0.7214,0.725
h2o_20230426_155630,1,3,70,0.8948,0.0959,0.9444,0.9443,0.95
h2o_20230426_165118,1,3,90,0.9087,0.0721,0.8333,0.8286,0.875
h2o_20230426_175226,1,3,110,0.9193,0.0887,0.8889,0.8875,0.9091
h2o_20230426_185701,1,3,130,0.8889,0.0977,0.6111,0.5418,0.7812
h2o_20230426_200544,1,3,150,0.875,0.0625,0.8333,0.8328,0.8375
h2o_20230426_211657,1,3,170,0.9444,0.0908,0.8889,0.8889,0.8889
h2o_20230426_223247,1,3,190,0.9444,0.0908,0.8889,0.8889,0.8889
h2o_20230426_235255,1,3,210,0.9167,0.0884,0.8889,0.8889,0.8889
h2o_20230429_042832,1,3,10,0.8611,0.1318,0.6667,0.6625,0.6753
h2o_20230429_043440,1,3,30,0.9306,0.1102,0.7778,0.775,0.7922
h2o_20230429_044302,1,3,50,0.9306,0.0659,0.7222,0.7214,0.725
h2o_20230429_045505,1,3,70,0.8948,0.0959,0.9444,0.9443,0.95
h2o_20230429_051138,1,3,90,0.9087,0.0721,0.8333,0.8286,0.875
h2o_20230429_053305,1,3,110,0.9193,0.0887,0.8889,0.8875,0.9091
h2o_20230429_060008,1,3,130,0.8651,0.0978,0.8889,0.8875,0.9091
h2o_20230429_063125,1,3,150,0.875,0.0625,0.8333,0.8328,0.8375
h2o_20230429_070641,1,3,170,0.9444,0.0908,0.8889,0.8889,0.8889
h2o_20230429_074737,1,3,190,0.9444,0.0908,0.8889,0.8889,0.8889
h2o_20230429_083326,1,3,210,0.9167,0.0884,0.8889,0.8889,0.8889
h2o_20230429_083745,1,5,10,0.8472,0.1627,0.7778,0.7662,0.8462
h2o_20230429_084413,1,5,30,0.8056,0.2263,0.7222,0.699,0.8214
h2o_20230429_085352,1,5,50,0.875,0.125,0.6111,0.5418,0.7812
h2o_20230429_090759,1,5,70,0.8933,0.1146,0.5556,0.5,0.6
h2o_20230429_092515,1,5,90,0.8472,0.1042,0.7222,0.7143,0.75
h2o_20230429_094750,1,5,110,0.875,0.1083,0.7778,0.775,0.7922
h2o_20230429_101556,1,5,130,0.875,0.125,0.7778,0.7662,0.8462
h2o_20230429_104840,1,5,150,0.8194,0.1545,0.5556,0.4462,0.7647
h2o_20230429_112338,1,5,170,0.8333,0.1083,0.6667,0.6494,0.7077
h2o_20230429_120450,1,5,190,0.8333,0.0884,0.6667,0.6494,0.7077
h2o_20230429_125053,1,5,210,0.8333,0.1398,0.6667,0.6494,0.7077
h2o_20230429_125505,1,5,10,0.8472,0.1627,0.7778,0.7662,0.8462
h2o_20230429_130128,1,5,30,0.8056,0.2263,0.7222,0.699,0.8214
h2o_20230429_131100,1,5,50,0.875,0.125,0.6111,0.5418,0.7812
h2o_20230429_132505,1,5,70,0.8933,0.1146,0.5556,0.5,0.6
h2o_20230429_134220,1,5,90,0.8472,0.1042,0.7222,0.7143,0.75
h2o_20230429_140443,1,5,110,0.875,0.1083,0.7778,0.775,0.7922
h2o_20230429_143218,1,5,130,0.8603,0.0959,0.6111,0.5418,0.7812
h2o_20230429_150426,1,5,150,0.8194,0.1545,0.5556,0.4462,0.7647
h2o_20230429_153837,1,5,170,0.8333,0.1083,0.6667,0.6494,0.7077
h2o_20230429_161717,1,5,190,0.8333,0.0884,0.6667,0.6494,0.7077
h2o_20230429_170221,1,5,210,0.8333,0.1398,0.6667,0.6494,0.7077
h2o_20230428_125955,1,7,10,0.8889,0.1587,0.6667,0.6625,0.6753
h2o_20230428_130522,1,7,30,0.8611,0.1705,0.7222,0.7214,0.725
h2o_20230428_131438,1,7,50,0.8611,0.1705,0.7222,0.7214,0.725
