id,component,resample_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
pycaret_20230424_152311,1,1,10,0.6111,0.1496,0.5556,0.5556,0.5556
pycaret_20230424_154805,1,1,30,0.6806,0.1332,0.6111,0.5786,0.6607
pycaret_20230424_155843,1,1,50,0.6667,0.1559,0.5556,0.5556,0.5556
pycaret_20230424_162434,1,1,70,0.7083,0.1179,0.6111,0.6099,0.6125
pycaret_20230424_164929,1,1,90,0.75,0.1179,0.5556,0.5325,0.5692
pycaret_20230424_171452,1,1,110,0.875,0.1179,0.7222,0.7214,0.725
pycaret_20230424_173756,1,1,130,0.7778,0.1145,0.5556,0.5,0.6
pycaret_20230424_180343,1,1,150,0.75,0.1318,0.6667,0.6667,0.6667
pycaret_20230424_183007,1,1,170,0.7778,0.1145,0.7778,0.775,0.7922
pycaret_20230424_185440,1,1,190,0.8194,0.1195,0.6111,0.5786,0.6607
pycaret_20230424_191959,1,1,210,0.7778,0.1145,0.7778,0.7778,0.7778
pycaret_20230424_194613,1,3,10,0.7361,0.1375,0.6667,0.6625,0.6753
pycaret_20230424_201216,1,3,30,0.8056,0.1039,0.6111,0.6099,0.6125
pycaret_20230424_202319,1,3,50,0.75,0.0833,0.8333,0.8328,0.8375
pycaret_20230424_205041,1,3,70,0.7917,0.1318,0.8333,0.8328,0.8375
pycaret_20230424_211731,1,3,90,0.7917,0.1179,0.8333,0.8328,0.8375
pycaret_20230424_214606,1,3,110,0.7778,0.1145,0.8333,0.8286,0.875
pycaret_20230424_215818,1,3,130,0.7917,0.1318,0.7222,0.7143,0.75
pycaret_20230424_222526,1,3,150,0.8194,0.1039,0.8333,0.8328,0.8375
pycaret_20230424_225238,1,3,170,0.8472,0.0982,0.8889,0.8889,0.8889
pycaret_20230424_231907,1,3,190,0.8611,0.0921,0.8889,0.8889,0.8889
pycaret_20230424_233030,1,3,210,0.7917,0.1318,0.7222,0.7143,0.75
pycaret_20230424_235739,1,5,10,0.7917,0.2041,0.6111,0.6099,0.6125
pycaret_20230425_000907,1,5,30,0.7778,0.1145,0.6111,0.5786,0.6607
pycaret_20230425_002020,1,5,50,0.7778,0.1145,0.5556,0.5,0.6
pycaret_20230425_003133,1,5,70,0.7917,0.1179,0.6111,0.5786,0.6607
pycaret_20230425_010040,1,5,90,0.8056,0.1571,0.6667,0.6625,0.6753
pycaret_20230425_013236,1,5,110,0.7778,0.1145,0.6111,0.5786,0.6607
pycaret_20230425_020516,1,5,130,0.7778,0.1416,0.6111,0.6,0.625
pycaret_20230425_023714,1,5,150,0.7917,0.1318,0.5556,0.5,0.6
pycaret_20230425_030859,1,5,170,0.8056,0.1571,0.5556,0.5325,0.5692
pycaret_20230425_034126,1,5,190,0.7917,0.1318,0.5,0.4985,0.5
pycaret_20230425_041433,1,5,210,0.7639,0.1242,0.6111,0.6,0.625
pycaret_20230425_044658,1,7,10,0.8056,0.1678,0.7222,0.7214,0.725
pycaret_20230425_051756,1,7,30,0.7917,0.1443,0.6667,0.6625,0.6753
pycaret_20230425_054827,1,7,50,0.7917,0.1179,0.6667,0.6494,0.7077
pycaret_20230425_062243,1,7,70,0.7639,0.0921,0.6111,0.5786,0.6607
pycaret_20230425_065714,1,7,90,0.7639,0.0921,0.6667,0.6494,0.7077
pycaret_20230425_073211,1,7,110,0.7222,0.0982,0.6667,0.6494,0.7077
pycaret_20230425_081039,1,7,130,0.75,0.1318,0.6111,0.6,0.625
pycaret_20230425_085243,1,7,150,0.7222,0.0982,0.6111,0.6,0.625
pycaret_20230425_092813,1,7,170,0.6944,0.1457,0.6667,0.6494,0.7077
pycaret_20230425_100553,1,7,190,0.7083,0.1559,0.6667,0.6667,0.6667
pycaret_20230425_104315,1,7,210,0.6944,0.0621,0.6111,0.6099,0.6125
pycaret_20230425_112002,1,9,10,0.7639,0.1242,0.7222,0.7214,0.725
pycaret_20230425_115529,1,9,30,0.8056,0.1332,0.6667,0.6494,0.7077
pycaret_20230425_123031,1,9,50,0.7222,0.1288,0.6667,0.6494,0.7077
pycaret_20230425_130509,1,9,70,0.7222,0.1934,0.6667,0.6625,0.6753
pycaret_20230425_133935,1,9,90,0.7778,0.1145,0.5556,0.5325,0.5692
pycaret_20230425_141510,1,9,110,0.7639,0.1811,0.7222,0.7143,0.75
pycaret_20230425_145313,1,9,130,0.75,0.2205,0.7222,0.7143,0.75
pycaret_20230425_153005,1,9,150,0.75,0.2205,0.7222,0.7214,0.725
pycaret_20230425_160622,1,9,170,0.7361,0.1375,0.6667,0.6494,0.7077
pycaret_20230425_164213,1,9,190,0.7083,0.1768,0.6667,0.6625,0.6753
pycaret_20230425_171544,1,9,210,0.7222,0.1843,0.6667,0.6625,0.6753
pycaret_20230425_175113,1,11,10,0.7361,0.2316,0.7222,0.7143,0.75
pycaret_20230425_182818,1,11,30,0.7222,0.1288,0.6111,0.6,0.625
pycaret_20230425_190720,1,11,50,0.7083,0.1179,0.5556,0.55,0.5584
pycaret_20230425_194711,1,11,70,0.7083,0.1863,0.6111,0.6,0.625
pycaret_20230425_202746,1,11,90,0.6944,0.1332,0.5556,0.5,0.6
pycaret_20230425_211018,1,11,110,0.7222,0.1746,0.5,0.4857,0.5
pycaret_20230425_215514,1,11,130,0.7083,0.1443,0.5556,0.55,0.5584
pycaret_20230425_223709,1,11,150,0.7083,0.1863,0.5556,0.55,0.5584
pycaret_20230425_231852,1,11,170,0.7361,0.1375,0.6667,0.6625,0.6753
pycaret_20230425_235915,1,11,190,0.7083,0.1863,0.6111,0.6,0.625
pycaret_20230426_003819,1,11,210,0.6944,0.1332,0.5,0.4985,0.5
pycaret_20230426_005501,1,13,10,0.6667,0.1179,0.5556,0.5,0.6
pycaret_20230426_013907,1,13,30,0.7083,0.1559,0.6111,0.6,0.625
pycaret_20230426_022131,1,13,50,0.6528,0.1843,0.5,0.4857,0.5
pycaret_20230426_030235,1,13,70,0.6528,0.1643,0.5556,0.5325,0.5692
pycaret_20230426_034337,1,13,90,0.6806,0.1571,0.5,0.4857,0.5
pycaret_20230426_041906,1,13,110,0.625,0.1667,0.5556,0.55,0.5584
pycaret_20230426_045523,1,13,130,0.6667,0.1667,0.5556,0.55,0.5584
pycaret_20230426_053209,1,13,150,0.7222,0.1416,0.4444,0.4375,0.4416
pycaret_20230426_054751,1,13,170,0.6389,0.0921,0.4444,0.375,0.4
pycaret_20230426_062427,1,13,190,0.7361,0.1094,0.4444,0.4444,0.4444
pycaret_20230426_070213,1,13,210,0.6528,0.1843,0.6111,0.6099,0.6125
pycaret_20230426_073952,1,15,10,0.6806,0.1571,0.5,0.4857,0.5
pycaret_20230426_081706,1,15,30,0.6528,0.1288,0.3889,0.387,0.3875
pycaret_20230426_085922,1,15,50,0.7639,0.1375,0.6667,0.6667,0.6667
pycaret_20230426_094819,1,15,70,0.7222,0.1643,0.6111,0.6,0.625
pycaret_20230426_103719,1,15,90,0.6944,0.1571,0.4444,0.4444,0.4444
pycaret_20230426_112647,1,15,110,0.6528,0.1416,0.6667,0.6667,0.6667
pycaret_20230426_121554,1,15,130,0.6111,0.2161,0.5556,0.5325,0.5692
pycaret_20230426_130459,1,15,150,0.8333,0.1318,0.6667,0.6667,0.6667
pycaret_20230426_135403,1,15,170,0.6806,0.1964,0.6111,0.6,0.625
