id,component,reshape_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
pycaret_20230421_003411,1,1,10,0.6111,0.1496,0.5555555555555556,0.5555555555555556,0.5555555555555556
pycaret_20230421_003611,1,1,20,0.6667,0.1559,0.6111111111111112,0.6099071207430341,0.6124999999999999
pycaret_20230421_004041,1,1,30,0.6806,0.1332,0.6111111111111112,0.5785953177257525,0.6607142857142857
pycaret_20230421_004626,1,1,40,0.6944,0.2051,0.6111111111111112,0.6099071207430341,0.6124999999999999
pycaret_20230421_004845,1,1,50,0.6667,0.1559,0.5555555555555556,0.5555555555555556,0.5555555555555556
pycaret_20230421_005410,1,1,60,0.7222,0.1643,0.6666666666666666,0.6625000000000001,0.6753246753246754
pycaret_20230421_010050,1,1,70,0.7083,0.1179,0.6111111111111112,0.6099071207430341,0.6124999999999999
pycaret_20230421_010712,1,1,80,0.75,0.1179,0.4444444444444444,0.4375,0.44155844155844154
pycaret_20230421_011321,1,1,90,0.75,0.1179,0.5555555555555556,0.5324675324675324,0.5692307692307692
pycaret_20230421_012043,1,1,100,0.8194,0.1195,0.7777777777777778,0.7749999999999999,0.7922077922077921
pycaret_20230421_013919,1,1,10,0.6111,0.1496,0.5555555555555556,0.5555555555555556,0.5555555555555556
pycaret_20230421_014225,1,1,20,0.6667,0.1559,0.6111111111111112,0.6099071207430341,0.6124999999999999
pycaret_20230421_014928,1,1,30,0.6806,0.1332,0.6111111111111112,0.5785953177257525,0.6607142857142857
pycaret_20230421_015619,1,1,40,0.6944,0.2051,0.6111111111111112,0.6099071207430341,0.6124999999999999
pycaret_20230421_015902,1,1,50,0.6667,0.1559,0.5555555555555556,0.5555555555555556,0.5555555555555556
pycaret_20230421_020530,1,1,60,0.7222,0.1643,0.6666666666666666,0.6625000000000001,0.6753246753246754
pycaret_20230421_021237,1,1,70,0.7083,0.1179,0.6111111111111112,0.6099071207430341,0.6124999999999999
pycaret_20230421_021908,1,1,80,0.75,0.1179,0.4444444444444444,0.4375,0.44155844155844154
pycaret_20230421_022615,1,1,90,0.75,0.1179,0.5555555555555556,0.5324675324675324,0.5692307692307692
pycaret_20230421_023330,1,1,100,0.8194,0.1195,0.7777777777777778,0.7749999999999999,0.7922077922077921
pycaret_20230421_023751,1,2,10,0.6389,0.1242,0.5555555555555556,0.5555555555555556,0.5555555555555556
pycaret_20230421_024631,1,2,20,0.7083,0.1318,0.6666666666666666,0.6666666666666666,0.6666666666666666
pycaret_20230421_025514,1,2,30,0.7778,0.1416,0.7777777777777778,0.7777777777777778,0.7777777777777778
pycaret_20230421_030533,1,2,40,0.7778,0.1145,0.7222222222222222,0.7213622291021671,0.7250000000000001
pycaret_20230421_031638,1,2,50,0.7639,0.1094,0.7222222222222222,0.7213622291021671,0.7250000000000001
pycaret_20230421_032751,1,2,60,0.7361,0.1242,0.8888888888888888,0.8888888888888888,0.8888888888888888
pycaret_20230421_033831,1,2,70,0.7778,0.1746,0.7222222222222222,0.7142857142857143,0.75
pycaret_20230421_034307,1,2,80,0.7639,0.1094,0.6666666666666666,0.6493506493506493,0.7076923076923077
pycaret_20230421_034754,1,2,90,0.7639,0.1094,0.7222222222222222,0.7142857142857143,0.75
pycaret_20230421_035232,1,2,100,0.7778,0.1145,0.7777777777777778,0.7749999999999999,0.7922077922077921
pycaret_20230421_035848,1,2,10,0.6389,0.1242,0.5555555555555556,0.5555555555555556,0.5555555555555556
pycaret_20230421_041033,1,2,20,0.7083,0.1318,0.6666666666666666,0.6666666666666666,0.6666666666666666
pycaret_20230421_042200,1,2,30,0.7778,0.1416,0.7777777777777778,0.7777777777777778,0.7777777777777778
pycaret_20230421_043339,1,2,40,0.7778,0.1145,0.7222222222222222,0.7213622291021671,0.7250000000000001
pycaret_20230421_044523,1,2,50,0.7639,0.1094,0.7222222222222222,0.7213622291021671,0.7250000000000001
pycaret_20230421_045711,1,2,60,0.7361,0.1242,0.8888888888888888,0.8888888888888888,0.8888888888888888
pycaret_20230421_050902,1,2,70,0.7778,0.1746,0.7222222222222222,0.7142857142857143,0.75
