id,component,resample_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
tpot_20230422_164934,1,1,10,0.7917,0.0833,0.4444,0.4375,0.4416
tpot_20230422_165845,1,1,20,0.7639,0.1094,0.5556,0.55,0.5584
tpot_20230422_172134,1,1,30,0.8611,0.1375,0.5556,0.55,0.5584
tpot_20230422_173535,1,1,40,0.8611,0.1375,0.6111,0.5418,0.7812
tpot_20230422_175156,1,1,50,0.8056,0.1779,0.3889,0.387,0.3875
tpot_20230422_180739,1,1,60,0.8194,0.1457,0.6111,0.6099,0.6125
tpot_20230422_182428,1,1,70,0.7778,0.1416,0.7222,0.7214,0.725
tpot_20230422_183631,1,1,80,0.8472,0.1416,0.6667,0.6625,0.6753
tpot_20230422_185113,1,1,90,0.7917,0.1667,0.6667,0.6625,0.6753
tpot_20230422_194144,1,1,100,0.8333,0.1021,0.7778,0.7778,0.7778
tpot_20230422_200004,1,2,10,0.75,0.1954,0.5556,0.5556,0.5556
tpot_20230422_201802,1,2,20,0.7917,0.1863,0.6111,0.6099,0.6125
tpot_20230422_203120,1,2,30,0.8194,0.1039,0.7778,0.7778,0.7778
tpot_20230422_205025,1,2,40,0.8194,0.1039,0.6667,0.6667,0.6667
tpot_20230422_210341,1,2,50,0.8194,0.1195,0.7778,0.7778,0.7778
tpot_20230422_211809,1,2,60,0.8333,0.1179,0.8333,0.8328,0.8375
tpot_20230422_212448,1,2,70,0.8472,0.0786,0.7778,0.775,0.7922
tpot_20230422_213137,1,2,80,0.8333,0.1021,0.8333,0.8328,0.8375
tpot_20230422_214720,1,2,90,0.8472,0.1145,0.8333,0.8328,0.8375
tpot_20230422_215248,1,2,100,0.8194,0.1039,0.8889,0.8889,0.8889
tpot_20230422_215659,1,3,10,0.7917,0.1021,0.5556,0.55,0.5584
tpot_20230422_220442,1,3,20,0.8194,0.1332,0.6111,0.6099,0.6125
tpot_20230422_220927,1,3,30,0.8333,0.1179,0.8889,0.8889,0.8889
