id,component,resample_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
tpot_20230424_155055,1,1,10,0.7917,0.0833,0.4444,0.4375,0.4416
tpot_20230424_161247,1,1,30,0.8611,0.1375,0.5556,0.55,0.5584
tpot_20230424_162822,1,1,50,0.8056,0.1779,0.3889,0.387,0.3875
tpot_20230424_164424,1,1,70,0.7778,0.1416,0.7222,0.7214,0.725
tpot_20230424_165838,1,1,90,0.7917,0.1667,0.6667,0.6625,0.6753
tpot_20230424_174403,1,1,110,0.8611,0.1242,0.7778,0.7662,0.8462
tpot_20230424_182104,1,1,130,0.8333,0.0833,0.8333,0.8328,0.8375
tpot_20230424_193849,1,1,150,0.875,0.0833,0.6667,0.6667,0.6667
tpot_20230424_200928,1,1,170,0.8333,0.1318,0.8333,0.8328,0.8375
tpot_20230424_205601,1,1,190,0.8472,0.1643,0.7778,0.775,0.7922
tpot_20230424_212725,1,1,210,0.8472,0.1145,0.7778,0.775,0.7922
tpot_20230424_213225,1,3,10,0.7917,0.1021,0.5556,0.55,0.5584
tpot_20230424_213807,1,3,30,0.8333,0.1179,0.8889,0.8889,0.8889
tpot_20230424_215341,1,3,50,0.8472,0.1416,0.7222,0.7214,0.725
tpot_20230424_220414,1,3,70,0.8472,0.1145,0.8333,0.8328,0.8375
tpot_20230424_221909,1,3,90,0.8889,0.0921,0.5556,0.5556,0.5556
tpot_20230424_223706,1,3,110,0.8611,0.0393,0.8333,0.8328,0.8375
tpot_20230424_231227,1,3,130,0.875,0.0589,0.7778,0.775,0.7922
tpot_20230424_233310,1,3,150,0.875,0.1559,0.8889,0.8875,0.9091
tpot_20230425_000122,1,3,170,0.9028,0.0786,0.8333,0.8286,0.875
tpot_20230425_002632,1,3,190,0.8889,0.0921,0.7778,0.775,0.7922
tpot_20230425_005250,1,3,210,0.875,0.1021,0.8889,0.8889,0.8889
tpot_20230425_010834,1,5,10,0.8333,0.1179,0.6667,0.6625,0.6753
tpot_20230425_011543,1,5,30,0.8333,0.1559,0.8889,0.8889,0.8889
tpot_20230425_013956,1,5,50,0.8889,0.0708,0.7222,0.7143,0.75
tpot_20230425_015221,1,5,70,0.8472,0.1145,0.5,0.4857,0.5
