id,component,resample_cube,number_of_features,CV_Accuracy_(Training),CV_Std_(Training),Accuracy_(Test),F1_Score_(Test),Precision_Score_(Test)
h2o_20230525_215058,1,3,70,0.7639,0.1587,0.4444,0.3077,0.2353
h2o_20230525_215627,1,3,70,0.6667,0.2165,0.5556,0.5556,0.5556
h2o_20230525_220544,1,3,70,0.7222,0.1502,0.5,0.4985,0.5
h2o_20230525_221612,1,3,70,0.4861,0.2456,0.5,0.3333,0.25
h2o_20230525_222949,1,3,70,0.7222,0.1215,0.3889,0.3378,0.3393
pycaret_20230525_174123,1,3,70,0.5,0.0833,0.4444,0.4375,0.4416
pycaret_20230525_174143,1,3,70,0.625,0.1768,0.6111,0.5786,0.6607
pycaret_20230525_174203,1,3,70,0.6528,0.1843,0.7222,0.7214,0.725
pycaret_20230525_174223,1,3,70,0.6806,0.1571,0.5556,0.5325,0.5692
pycaret_20230525_174245,1,3,70,0.5833,0.2125,0.6111,0.6099,0.6125
tpot_20230525_141440,1,3,70,0.6944,0.1779,0.5,0.4109,0.5
tpot_20230525_161451,1,3,70,0.75,0.1559,0.4444,0.4444,0.4444
tpot_20230525_162336,1,3,70,0.6944,0.1332,0.5,0.4109,0.5
tpot_20230525_165845,1,3,70,0.7361,0.1094,0.7222,0.7214,0.725
tpot_20230525_170535,1,3,70,0.6806,0.1039,0.2778,0.2571,0.25
