id,component,reshape_cube,number of features,CV Accuracy (Training),CV Std (Training),Accuracy (Test),F1 Score (Test),Precision Score (Test)
tpot_20230409_225509,1,5,9,0.72,0.0902521719708426,0.6428571428571429,0.6256684491978609,0.6749999999999999
tpot_20230409_230348,1,5,34,0.74,0.0404928317296729,0.6428571428571429,0.6256684491978609,0.6749999999999999
tpot_20230409_230710,1,5,59,0.7436363636363637,0.1181678313401594,0.5714285714285714,0.5333333333333333,0.6060606060606061
tpot_20230409_231008,1,5,84,0.7963636363636363,0.1056424657915196,0.7142857142857143,0.688888888888889,0.8181818181818181
tpot_20230409_231537,1,5,109,0.8145454545454545,0.0816361611659768,0.9285714285714286,0.9282051282051282,0.9375
tpot_20230409_232035,1,5,134,0.7945454545454546,0.0744345072380317,0.9285714285714286,0.9282051282051282,0.9375
tpot_20230409_232646,1,5,159,0.8327272727272726,0.1068868251396295,0.7142857142857143,0.7083333333333333,0.7333333333333333
tpot_20230409_234405,1,5,184,0.7018181818181819,0.0509090909090909,0.5714285714285714,0.5625000000000001,0.5777777777777777
tpot_20230409_235358,1,5,209,0.8127272727272727,0.0878766979897787,0.7857142857142857,0.7754010695187166,0.8499999999999999
tpot_20230410_000454,2,5,9,0.74,0.0703239258393226,0.9285714285714286,0.9282051282051282,0.9375
tpot_20230410_001753,2,5,34,0.7218181818181817,0.1001816531924066,0.7857142857142857,0.7846153846153846,0.7916666666666667
tpot_20230410_004356,2,5,59,0.6872727272727273,0.1557280953117371,0.7142857142857143,0.7142857142857143,0.7142857142857143
tpot_20230410_010104,2,5,84,0.6672727272727272,0.0388257390982956,0.6428571428571429,0.6410256410256411,0.6458333333333333
tpot_20230410_011543,2,5,109,0.8709090909090911,0.071904436121037,0.7142857142857143,0.7083333333333333,0.7333333333333333
tpot_20230410_013242,2,5,134,0.7236363636363636,0.1261771023483452,0.9285714285714286,0.9282051282051282,0.9375
tpot_20230410_014204,2,5,159,0.6672727272727272,0.1068868251396296,0.7142857142857143,0.7142857142857143,0.7142857142857143
tpot_20230410_021708,2,5,184,0.6654545454545455,0.1262818571213479,0.4285714285714285,0.4285714285714285,0.4285714285714285
tpot_20230410_023516,2,5,209,0.6836363636363637,0.0793360881064415,0.8571428571428571,0.8571428571428571,0.8571428571428571
tpot_20230410_024125,3,5,9,0.72,0.0902521719708426,0.7142857142857143,0.688888888888889,0.8181818181818181
tpot_20230410_025418,3,5,34,0.6872727272727273,0.1197242009683951,0.7142857142857143,0.7142857142857143,0.7142857142857143
tpot_20230410_031019,3,5,59,0.8145454545454547,0.0998511288563344,0.7142857142857143,0.7083333333333333,0.7333333333333333
tpot_20230410_032950,3,5,84,0.8327272727272728,0.1068868251396295,0.6428571428571429,0.6410256410256411,0.6458333333333333
tpot_20230410_040420,3,5,109,0.6690909090909092,0.13231567562662,0.6428571428571429,0.6410256410256411,0.6458333333333333
tpot_20230410_041332,3,5,134,0.8872727272727273,0.0922805639305419,0.7857142857142857,0.7846153846153846,0.7916666666666667
tpot_20230410_042501,3,5,159,0.8345454545454546,0.0876506966777741,0.8571428571428571,0.8571428571428571,0.8571428571428571
tpot_20230410_043642,3,5,184,0.6854545454545455,0.0911995360289778,0.7142857142857143,0.7083333333333333,0.7333333333333333
tpot_20230410_045317,3,5,209,0.7763636363636364,0.0964836302648843,0.7142857142857143,0.7142857142857143,0.7142857142857143
tpot_20230410_045742,4,5,9,0.6254545454545455,0.2324430082108638,0.5714285714285714,0.5714285714285714,0.5714285714285714
tpot_20230410_050626,4,5,34,0.5672727272727273,0.2410445588243862,0.5,0.4974358974358974,0.5
tpot_20230410_051717,4,5,59,0.7763636363636364,0.0519376612984934,0.7142857142857143,0.7142857142857143,0.7142857142857143
tpot_20230410_053129,4,5,84,0.8309090909090908,0.0961403932101984,0.5714285714285714,0.5625000000000001,0.5777777777777777
tpot_20230410_053609,4,5,109,0.72,0.1214784951890186,0.6428571428571429,0.6256684491978609,0.6749999999999999
tpot_20230410_054216,4,5,134,0.8309090909090908,0.0770531640015166,0.7857142857142857,0.7846153846153846,0.7916666666666667
